id,match_date,weather,temperature,venue
30000,2018-11-24,晴のち雲,12,ユアテックスタジアム仙台
30001,2018-11-24,晴のち雲,15,味の素スタジアム
30002,2018-11-24,晴のち雲,15,ShonanBMWスタジアム平塚
30003,2018-11-24,晴のち雲,15,IAIスタジアム日本平
30004,2018-11-24,晴のち雲,14,ヤマハスタジアム(磐田)
30005,2018-11-24,晴のち雲,15,パナソニックスタジアム吹田
30006,2018-11-24,晴のち雲,14,ヤンマースタジアム長居
30007,2018-11-24,晴のち雲,15,エディオンスタジアム広島
30008,2018-11-24,晴のち雲,16,ベストアメニティスタジアム
30009,2018-12-1,晴のち雲,5,札幌ドーム
30010,2018-12-1,晴,14,県立カシマサッカースタジアム
30011,2018-12-1,晴,8,埼玉スタジアム2002
30012,2018-12-1,晴,11,三協フロンテア柏スタジアム
30013,2018-12-1,晴,10,等々力陸上競技場
30014,2018-12-1,晴,10,日産スタジアム
30015,2018-12-1,晴,8,パロマ瑞穂スタジアム
30016,2018-12-1,晴,10,ノエビアスタジアム神戸
30017,2018-12-1,晴,11,トランスコスモススタジアム長崎
